Minisector,SAI,STR,Fastest
0,316.29311873469544,315.47499059938804,SAI
1,323.9634056347826,322.95804224559697,SAI
2,327.33134923174606,321.2158942666041,SAI
3,207.49878666008064,197.5762342592996,SAI
4,113.9108594738495,116.70135400577685,STR
5,260.95406741105575,261.5040610464747,STR
6,296.89105697315927,295.95256252730377,SAI
7,312.9461228363978,301.26041662222224,SAI
8,291.0907475294761,277.6083312,SAI
9,140.0824637863653,142.25189312690148,STR
10,219.13838448484847,221.5120179610141,STR
11,209.42880730768098,210.49455086282978,STR
12,193.9028568554648,194.4060453006695,STR
13,263.3764104522046,266.23692746948853,STR
14,299.54097204444446,297.44800708240166,SAI
15,317.2626812289855,302.4411458222222,SAI
16,262.50650716734697,264.70962374448436,STR
17,193.47883104397928,198.27664702759355,STR
18,265.04152414589123,265.7863773948718,STR
19,299.7137145695348,298.3390628444444,SAI
20,315.7202896695652,306.79652782222223,SAI
21,309.5267553985731,297.7578124,SAI
22,201.87962933333336,206.89917235555555,STR
23,260.42356035389787,260.0043209481482,SAI
24,297.58190439619045,297.83815666295953,STR
25,,308.35833386666667,STR
