Minisector,RUS,STR,Fastest
0,300.5682144454581,298.90601181797973,RUS
1,189.33378183889255,185.16196793536182,RUS
2,219.79446824998433,221.69102868235362,STR
3,276.6176866676223,274.9773134855844,RUS
4,228.99886166003702,231.42950914119575,STR
5,124.37511196437053,123.73946026422212,RUS
6,203.87883494945254,201.86427935534397,RUS
7,239.08772608857188,230.66337464419487,RUS
8,236.26056991619896,216.79008459995543,RUS
9,226.46116696543885,228.45867425319753,STR
10,273.2150347796582,270.91753804189733,RUS
11,289.73115356286996,289.0980353653341,RUS
12,296.4746942399718,300.3475094693018,STR
13,298.92778810372727,318.56209343159,STR
14,297.73357142857145,324.19109243697477,STR
15,227.56901305677488,215.66177850544037,RUS
16,226.90821337740826,233.17055403514388,STR
17,270.9428997579742,281.28054755761127,STR
18,285.48652090637495,287.029347724792,STR
19,139.6030917788288,134.473482089482,RUS
20,195.4431641573585,182.02843046556998,RUS
21,184.10726748435414,157.7173978707593,RUS
22,134.72808346515114,142.56191179708057,STR
23,236.83597061142112,235.0499148610744,RUS
24,282.63795683221883,282.5814984855437,RUS
25,297.1194974021604,,RUS
