Minisector,ALB,TSU,Fastest
0,298.6384059670588,289.7060003337143,ALB
1,318.00731456256904,300.1535234900585,ALB
2,326.9717612504202,306.5166665955556,ALB
3,328.5940971555556,309.6464223472278,ALB
4,191.91028680360043,191.2885866458413,ALB
5,229.05991680084657,217.5772486725544,ALB
6,266.7808885827176,266.5046594448254,ALB
7,264.5681893925926,254.7996213708309,ALB
8,199.22412070623236,191.6088775471921,ALB
9,139.72980543851853,145.32778963593537,TSU
10,177.89703632006325,180.97050840067735,TSU
11,263.3532706380045,264.0389545597929,TSU
12,246.92431357930982,244.85393395824917,ALB
13,233.6908862153846,226.62594769416899,ALB
14,269.4743471288496,264.8090810845781,ALB
15,171.72233279396826,167.7228582193696,ALB
16,232.47200086262626,231.5887634727619,ALB
17,244.13475093564213,240.85168461056824,ALB
18,135.07901669187083,132.56590107166764,ALB
19,241.80934399492062,246.2277256950917,TSU
20,283.19943628196984,284.7784135923809,TSU
21,246.20683483826087,241.1513419522244,ALB
22,142.91848014307303,139.28906848055394,ALB
23,218.34326516114285,216.17731553212184,ALB
24,272.04088835969134,269.4587233123824,ALB
25,284.0071424,,ALB
