Minisector,VER,PER,Fastest
0,253.3297097388342,257.607860972715,PER
1,208.27424786717566,203.39409099066654,VER
2,220.61895174251248,217.84086896457652,VER
3,258.21328008774896,260.2921781719747,PER
4,269.4691131770955,271.41911138475893,PER
5,210.90782666559207,212.4578359191473,PER
6,97.86393107573402,91.06537692173279,VER
7,189.77231717444084,194.33364385254237,PER
8,274.62717114162035,282.3112782791717,PER
9,297.4157405629629,310.94451362154405,PER
10,306.39889735049337,323.11944224878016,PER
11,301.0952810745984,309.85379694837513,PER
12,110.40119679750237,103.71326912356271,VER
13,212.7094058268342,221.25306108393798,PER
14,273.6957179202362,282.22774262129514,PER
15,296.50875698559776,302.8729676098316,PER
16,224.54706663736664,201.26300681412766,VER
17,125.3962529793476,123.29389617416051,VER
18,154.6209839769017,157.02184709654736,PER
19,250.388232103897,262.79989260112166,PER
20,153.61722492033985,144.34986383529738,VER
21,128.3590209840303,125.5356811258381,VER
22,202.5657704610455,208.04107774885364,PER
23,205.83260765848058,191.33960242141995,VER
24,171.7946451597134,163.709340085942,VER
