Minisector,NOR,OCO,Fastest
0,290.5133769204205,290.74730835333503,OCO
1,164.96156878226495,163.98589312178245,NOR
2,177.45434909161793,170.62114317820004,NOR
3,256.0004207190722,251.9112132040917,NOR
4,289.3784002015238,283.0496469181103,NOR
5,245.5624085448756,241.58923437249496,NOR
6,224.36082429923852,225.26632452586972,OCO
7,157.02697069537916,149.84889908760962,NOR
8,223.77912081345403,224.23771194485514,OCO
9,277.8898441331602,280.5285767975588,OCO
10,297.5265330087157,301.5119562187755,OCO
11,306.7593537959184,311.93828594619885,OCO
12,309.1844689394395,316.41104278133946,OCO
13,307.8060272633135,313.2289458652557,OCO
14,132.38353083988474,131.5354260731672,NOR
15,118.13406492917466,118.63257734076336,OCO
16,102.98332411286756,96.74961208210968,NOR
17,233.82110878044048,226.613288501887,NOR
18,286.11859616715725,283.56831587845807,NOR
19,305.91874160314836,309.0449005956501,OCO
20,315.8858974881203,319.61753887336516,OCO
21,318.76120627649124,322.70534500426487,OCO
22,117.96408805327037,121.95474744617947,OCO
23,204.3603710002005,196.25825520120114,NOR
24,270.54229534018447,270.0884216745743,NOR
25,,286.02569520000003,OCO
