Minisector,HAD,TSU,Fastest
0,303.2036691014346,305.99691068552187,TSU
1,198.70778515216966,207.17595158260872,TSU
2,147.19650839313366,142.546815382986,HAD
3,220.83779251313712,215.91555077753537,HAD
4,168.65743184003543,165.07129975311852,HAD
5,177.49527648877515,178.93969410036942,TSU
6,257.62146294528253,254.50576796810861,HAD
7,281.4229391845926,280.91279685188215,HAD
8,289.5377342374695,288.85558029506495,HAD
9,263.31567091450984,264.1533343438597,TSU
10,244.12427122238773,246.62075856,TSU
11,246.86866480772915,237.78430999139331,HAD
12,208.9165708984212,200.2421692886949,HAD
13,133.22716276631928,124.11527718335839,HAD
14,138.9099973297044,140.56641020868264,TSU
15,181.85727857820106,171.80898528330843,HAD
16,249.94386547032195,249.4907257253133,HAD
17,234.91602069892065,251.24984746948854,TSU
18,114.69871238414156,110.66517915651568,HAD
19,196.77134170817243,190.78546763844406,HAD
20,202.56332859066345,203.05232808034634,TSU
21,237.76227376931217,236.30847751627817,HAD
22,265.560864579612,264.5668774485093,HAD
23,286.59770696677816,285.6199694258547,HAD
24,297.9974217777778,298.66554057061853,TSU
25,,303.3361109333333,TSU
