Minisector,HAM,RUS,Fastest
0,299.1199349989326,293.6081127447542,HAM
1,157.76794806908887,174.2339425419786,RUS
2,168.5277662607423,164.78625848679883,HAM
3,254.80479386196592,248.7274266548588,HAM
4,291.36668866680986,288.4402577371428,HAM
5,254.77010897015873,256.53286505886695,RUS
6,223.5875817027417,219.8995315353091,HAM
7,147.48410419255208,152.1834351823085,RUS
8,227.87134498489553,215.611123087948,HAM
9,281.85694824704035,275.73043020533333,HAM
10,303.1314769108805,300.2921968872727,HAM
11,318.9677409669747,310.6541896510242,HAM
12,329.06488010857584,315.603437392,HAM
13,326.41113746269036,316.5391055455678,HAM
14,121.82595330072748,118.40199560462094,HAM
15,112.54321326018466,117.04308661101972,RUS
16,101.41633915813871,103.6329125930191,RUS
17,238.03510113431875,235.2636232255446,HAM
18,287.8268052839506,285.9199727348458,HAM
19,313.99093591448747,309.6019054408237,HAM
20,330.7956947405752,319.9235862327619,HAM
21,332.3314177163636,325.0992894373895,HAM
22,123.15590290020626,126.80252008784315,RUS
23,200.870987649032,203.10108911433284,RUS
24,271.0140822472727,267.09106783936505,HAM
25,290.0285696,,HAM
