Minisector,GAS,OCO,Fastest
0,308.6804200599066,306.36182301793247,GAS
1,210.6108808121212,212.5000987340413,OCO
2,132.80813128259499,125.42586736624634,GAS
3,215.19792787990932,223.5674079283502,OCO
4,261.3411242659132,262.3326993777778,OCO
5,290.23647920522876,289.1698232011544,GAS
6,304.44149682176874,303.62914920070205,GAS
7,266.7944306973734,270.6959716223204,OCO
8,165.87384037988735,169.42790692616717,OCO
9,235.34725232479963,236.18595446946034,OCO
10,271.1268572657321,272.60087353173384,OCO
11,254.95943232120302,259.8339345815722,OCO
12,197.14605923357593,202.16082442881378,OCO
13,120.16090902993895,123.15424268570843,OCO
14,119.27150477440077,120.68639744296087,OCO
15,164.58057549318735,161.96777138554725,GAS
16,124.94559721695586,121.12783440371925,GAS
17,222.79994196970685,224.09395721674406,OCO
18,166.98981447941034,167.74328980581203,OCO
19,154.08141143386038,156.87471781465499,OCO
20,245.9043749751684,246.2792818785185,OCO
21,279.94230796867726,278.72082072699277,GAS
22,301.75929550526985,299.2732587757143,GAS
23,315.09489244090906,320.57857119307357,OCO
24,320.70192838745254,326.01749359794377,OCO
25,323.79499904,,GAS
