Minisector,LEC,RAI,Fastest
0,292.5442163636124,288.7345348011093,LEC
1,298.0889365715343,291.2071247091154,LEC
2,162.69078384354734,157.29858570489893,LEC
3,228.7546132125087,228.77739814084777,RAI
4,279.05564914918085,274.32740009716076,LEC
5,296.76982428632317,293.05864411683797,LEC
6,301.4227902352217,296.58285393597214,LEC
7,160.44243280763257,145.25616813689186,LEC
8,139.24708002465007,147.14336427449769,RAI
9,254.7295104753124,252.88391638031104,LEC
10,287.6587610382837,284.51316698209433,LEC
11,297.47136819345155,293.7413262617369,LEC
12,146.0535286149709,144.64289117076763,LEC
13,198.2012457498913,205.30429467548112,RAI
14,261.22741967284213,257.80917225965163,LEC
15,203.59981089553804,189.00832910117072,LEC
16,227.32599785569613,220.90496097046235,LEC
17,214.98188166153096,206.26123605780927,LEC
18,247.57799286184138,246.32165208211057,LEC
19,279.9825142190376,275.67442095071186,LEC
20,296.48388895492064,291.661890894404,LEC
21,261.52117332597726,248.70325795816538,LEC
22,227.14937961731727,217.88791815327724,LEC
23,205.0517521907565,208.60774323241213,RAI
24,267.64491265392087,264.777019896586,LEC
