Minisector,RUS,NOR,Fastest
0,303.4850731006984,307.0153679965201,NOR
1,313.4861109894737,318.9031250755555,NOR
2,305.0692694293996,306.96649850752266,NOR
3,176.2619034501852,181.3235565533646,NOR
4,221.43929390540282,218.2508060363396,RUS
5,200.67846935132906,197.53294500400656,RUS
6,178.48021769049,182.46793161899726,NOR
7,206.67704085764933,201.024045251772,RUS
8,255.9959368257047,250.34894218239998,RUS
9,259.81040429758616,247.16107017867543,RUS
10,177.99115773138442,174.08909890758892,RUS
11,229.46480303576885,233.758107444335,NOR
12,124.21497292059358,123.7670716848106,RUS
13,245.4171040500122,244.59802722685563,RUS
14,276.73019900061024,272.8667206164502,RUS
15,273.8458394795604,268.8825501214815,RUS
16,218.37570111781437,201.51447562782343,RUS
17,193.80424983811446,198.16056420495434,NOR
18,295.762570344583,291.8166829394791,RUS
19,332.5537826238219,317.1209210610526,RUS
20,345.4600002234921,312.2190480380952,RUS
21,321.07166987791004,291.87020237737374,RUS
22,279.0775841536204,241.2368550822694,RUS
23,122.80674021725595,125.6659209667564,NOR
24,245.65561463452656,257.2368695762123,NOR
