Minisector,PER,ALO,Fastest
0,253.310972329972,246.2112361734369,PER
1,208.9427999011183,209.7656442408791,ALO
2,201.6456452883503,209.78064279914886,ALO
3,253.21879265322488,259.1528531652525,ALO
4,275.95134421778823,274.66577920480705,PER
5,291.31131254400003,291.0426171248485,PER
6,158.16409310153972,155.19665324085506,PER
7,175.20281020521782,183.8334137452519,ALO
8,266.8553362320098,271.68799228887906,ALO
9,309.19863946285716,305.14717510442773,PER
10,325.9773532797178,314.1227886541944,PER
11,329.0492071830082,298.5983092397661,PER
12,125.12831470255558,108.21635133646751,PER
13,184.47197281970296,197.0431691168899,ALO
14,268.5107972057301,278.85216007885714,ALO
15,294.41846862933335,309.16229382633054,ALO
16,301.092564785332,313.7820249433297,ALO
17,189.16274034697366,182.2328863337592,PER
18,218.23958301798942,224.96252858694885,ALO
19,265.3346422750867,258.4945896185034,PER
20,149.65814050529536,147.9209235113274,PER
21,144.8388986710027,144.19446610397213,PER
22,218.7587766846387,219.9795187156374,ALO
23,232.58267143903979,223.569964010199,PER
24,157.4602705560134,151.16480775278131,PER
25,220.97222044444445,,PER
