Minisector,LEC,HAM,Fastest
0,303.5980260484738,293.42067343946127,LEC
1,214.8144199876923,212.02559322723917,LEC
2,137.53206698311251,142.04509651229924,HAM
3,211.8877557638095,217.92819168162714,HAM
4,157.34306207170306,160.34824718753785,HAM
5,175.66355293107344,183.33173404848483,HAM
6,251.56616661327325,247.94889142454758,LEC
7,279.4616671466666,272.8791607674459,LEC
8,285.5769841777778,279.0726661426686,LEC
9,259.6909656623633,261.6580785740289,HAM
10,243.68277854814812,242.16023334863635,LEC
11,241.52937933524512,244.24325118423272,HAM
12,206.7679861111111,211.88327836586825,HAM
13,136.7280072525249,138.54633580382628,HAM
14,140.26968725467785,149.78012357417313,HAM
15,179.42039827365227,173.64761526667488,LEC
16,252.98717671111112,245.54847121402386,LEC
17,240.71165151227797,238.38896975413627,LEC
18,112.73415036432056,115.3726389760521,HAM
19,196.6594401558181,191.28200450424242,LEC
20,196.24288234901098,201.19945350583018,HAM
21,231.87728788340155,228.3236610185911,LEC
22,263.8221580347475,257.85559893186826,LEC
23,282.93211924847185,276.4797929851538,LEC
24,297.35070958379583,288.26423542137115,LEC
25,,292.4750002285714,HAM
