Minisector,ALO,STR,Fastest
0,300.34304649059743,316.685191384669,STR
1,162.03256407871646,158.28865354663964,ALO
2,158.93228480597426,147.107238056283,ALO
3,230.2731472807619,230.19177380498593,ALO
4,288.7002320267054,285.83301698782367,ALO
5,291.3940707790174,291.91288737391307,STR
6,144.63442352511518,143.10270953803425,ALO
7,147.0184772564519,138.55315632856835,ALO
8,135.68045711978763,143.2797517294309,STR
9,186.85174400846668,189.5224679783448,STR
10,124.44272902090515,126.86280589651237,STR
11,125.9412727242465,125.42231626762495,ALO
12,174.4695499275759,177.18557036343753,STR
13,268.6046760808103,266.9387610777401,ALO
14,294.65746034427934,291.0744332922737,ALO
15,150.39341819469888,146.87799856317432,ALO
16,222.0984896196808,205.63286498408976,ALO
17,184.2733372106578,162.1466083460782,ALO
18,274.05283111253425,268.8823225142857,ALO
19,298.6473530729412,296.05086187151517,ALO
20,312.30968167183676,310.84252424966184,ALO
21,321.512156227391,319.44451806836366,ALO
22,326.0190478019048,325.54547729260605,ALO
23,328.88120304601506,328.80902936929294,ALO
24,329.3965311020096,327.9589597000756,ALO
