Minisector,PIA,VER,Fastest
0,258.52060871657943,258.03360541239806,PIA
1,138.62242979744147,142.81434521857452,VER
2,272.16297145609184,267.23931426359115,PIA
3,311.40926165376146,309.5471247167947,PIA
4,310.55629510715903,308.93986303070574,PIA
5,318.3803905797088,316.4362698677954,PIA
6,322.85011908266665,320.40943751991114,PIA
7,321.6579349206349,315.25015123793946,PIA
8,203.5160739438164,200.12117152163347,PIA
9,202.25553631371764,203.83725697655584,VER
10,174.6606629620241,182.15068124935857,VER
11,182.50766470909556,181.8299348161665,PIA
12,260.6530706647471,259.58104240456237,PIA
13,276.04229842672004,276.1770801323232,VER
14,286.21088623081295,284.7842705773754,PIA
15,268.23739344641007,270.6744672741895,VER
16,180.57198101449754,185.611725059839,VER
17,202.3738972854975,196.21506433189313,PIA
18,247.93221079056195,250.34687189542427,VER
19,292.1169111111111,289.614694138883,PIA
20,311.95848899226297,308.9846604181242,PIA
21,317.905088985089,314.50964284675325,PIA
22,313.4972946656275,308.9942967791979,PIA
23,241.0789393900498,241.87485865714285,VER
24,125.864287106814,123.1353330989757,PIA
25,234.47000192,,PIA
