Minisector,NOR,BOR,Fastest
0,293.7219849658483,290.5167583487564,NOR
1,297.61201383269844,292.04246287085715,NOR
2,158.30731140691864,155.02020257331796,NOR
3,223.7675557584314,217.33484129272355,NOR
4,273.00879491947956,268.1838803277131,NOR
5,294.0117904175824,289.9327871068268,NOR
6,304.9210671902041,295.2809036753114,NOR
7,170.32775946615928,153.3680898672408,NOR
8,136.24132270727208,137.6317539246561,BOR
9,250.5347003071522,248.6312382887436,NOR
10,285.7466986773333,282.17939263744483,NOR
11,296.6103913677675,287.4354018119474,NOR
12,144.39063216414166,141.33925902837902,NOR
13,193.07327813175343,192.53167438743353,NOR
14,259.0652911117576,254.91015000466268,NOR
15,200.54196536507936,203.73742934682477,BOR
16,219.91191826123324,218.64905597541807,NOR
17,215.16390340102564,217.10391404619912,BOR
18,249.5850516754838,244.218357316083,NOR
19,279.99807043160496,276.4667434192593,NOR
20,296.62709414603177,288.64968908246914,NOR
21,269.48193639619046,258.54636924870454,NOR
22,220.7569754593524,224.17618959010883,BOR
23,200.16495824,198.28395662518858,NOR
24,264.7546632228572,263.4289028065882,NOR
25,,281.15714194285715,BOR
