Minisector,HAD,LAW,Fastest
0,207.05159670222224,238.14666678857142,LAW
1,205.0,217.41004395959598,LAW
2,243.7105316605215,206.67713343715556,HAD
3,272.87833294222224,230.42943882898552,HAD
4,280.4857145904762,250.50362711843135,HAD
5,167.8211200688172,268.24843767619046,LAW
6,112.867652236,228.72320857357929,LAW
7,149.22661063225806,138.41066804981685,HAD
8,197.5515757848396,119.82265912344498,HAD
9,161.66967741935485,169.9500700116492,LAW
10,103.9458646534321,161.15942626421855,LAW
11,128.24215695686274,107.7671521252228,HAD
12,178.83103127107992,119.2978820888889,HAD
13,172.43153846153848,174.33141970172838,LAW
14,126.84609267794741,158.2,LAW
15,140.38996279911862,134.4689706698752,HAD
16,190.6445711481905,147.7574994188522,HAD
17,235.911719815013,200.74835125079366,HAD
18,255.963623856,236.7050005444156,HAD
19,277.875,275.20906865452895,HAD
20,299.26875,292.24387262745097,HAD
21,308.40333312,300.70588235294116,HAD
22,312.2,316.9011807537795,LAW
23,322.6981816630303,322.0819712,HAD
24,323.84,324.7858428060606,LAW
25,323.0,320.9083328,HAD
