Minisector,NOR,GAS,Fastest
0,306.19340736317866,293.01091297076607,NOR
1,321.2145832888889,303.0576755087719,NOR
2,283.29252432409737,287.93030038120156,GAS
3,111.47410025025441,114.05099342065925,GAS
4,231.45319762690312,228.67745593945213,NOR
5,284.8086651111286,265.106759865202,NOR
6,216.611907339265,196.97072406083262,NOR
7,163.01407700890243,170.6470163665637,GAS
8,197.1101504530656,191.8603617013785,NOR
9,203.05070408509556,205.4635726975359,GAS
10,112.77532986812092,115.22303210746594,GAS
11,227.0853207677834,230.77096191976852,GAS
12,116.78987858114307,116.99559416123263,GAS
13,222.95171342640882,226.15658737908706,GAS
14,271.70205995728503,271.4724071649318,NOR
15,209.29740486456404,218.33902471746373,GAS
16,199.4201291785929,197.96910944595766,NOR
17,250.6053139062642,247.94956497497614,NOR
18,197.49212810337156,199.85856082315757,GAS
19,181.71264695390065,184.9437530327099,GAS
20,267.5197389424764,268.77492728884624,GAS
21,294.6965219425321,296.290871192527,GAS
22,158.80436458590478,160.52617890040835,GAS
23,210.2098703763227,213.8086052523435,GAS
24,270.2586203106594,273.5880172674174,GAS
25,284.1333333333333,,NOR
