Minisector,VET,MAG,Fastest
0,292.93378831974945,301.90717949307793,MAG
1,304.59337220253497,319.7908856,MAG
2,309.2558808119369,328.82307184782337,MAG
3,310.14511632133144,329.41893596190477,MAG
4,178.0541142411243,165.4460521379686,VET
5,218.1312685417318,201.6757055723257,VET
6,246.56085821362407,240.00760947359967,VET
7,269.8542952623663,263.80519562413406,VET
8,272.0771911232971,278.766353433263,MAG
9,170.07796300949866,164.43131552099797,VET
10,238.15048412702657,225.17303662667,VET
11,145.73296017986513,142.85055870402513,VET
12,230.27522870626353,217.9147386939635,VET
13,202.5786394644105,208.15393338023668,MAG
14,220.20146398856232,206.7489084920364,VET
15,250.3266558564912,248.9242547711956,VET
16,264.46860464127303,255.30936113586614,VET
17,287.01739934932783,281.58068305302413,VET
18,142.68474073133507,157.1387280693808,MAG
19,163.71539737504096,153.34087258317157,VET
20,150.46042615459572,141.8873854632165,VET
21,168.12578593879482,173.21671268840933,MAG
22,121.70884128487985,118.42022408688845,VET
23,230.20380180345367,220.65457230760785,VET
24,275.99519525274803,270.9588448043031,VET
25,289.6401686816418,,VET
