Minisector,PER,SAI,Fastest
0,245.45064112598638,248.20513572392156,SAI
1,125.08936476283004,122.87504881596284,PER
2,196.2460212063492,205.78836035324673,SAI
3,243.01532807697834,246.79142436569416,SAI
4,258.67122783818047,257.75948557206345,PER
5,175.3561388639599,178.8211110271937,SAI
6,141.4893732848023,143.30059982447972,SAI
7,187.41828692938273,180.56075520241814,PER
8,98.55535305630806,99.96410281623946,SAI
9,75.07123701759396,73.70771669431117,PER
10,94.81124625656565,93.74848820142056,PER
11,185.6756509189418,188.36438835428572,SAI
12,244.2155157350649,244.51975857884335,SAI
13,265.2434815691274,267.2746530466936,SAI
14,270.0948564356343,273.5605745964945,SAI
15,105.97164087024028,104.59177569283625,PER
16,151.10019801553034,143.91039394438096,PER
17,183.11160722577927,170.07947654451576,PER
18,200.17373136181013,196.10075270775025,PER
19,210.40441226459544,206.6817204688889,PER
20,135.6770896843521,133.74839598142526,PER
21,105.96115844961065,101.49531482877266,PER
22,100.78566862710903,100.63146046945847,PER
23,200.6548791720635,201.0896152735635,SAI
24,248.27209111362694,251.70163443543936,SAI
25,261.7454557090909,263.74999893333336,SAI
