Minisector,BOT,MAG,Fastest
0,278.1141767508633,280.15915274378153,MAG
1,293.43937493333334,297.5331161904626,MAG
2,247.6866867204708,244.91185519171842,BOT
3,115.97829126872082,121.70983462359521,MAG
4,128.07219217939885,122.655822854112,BOT
5,248.41540280071038,245.14090966218512,BOT
6,250.04236088888888,261.3006408063985,MAG
7,122.97067829613806,121.13875120972645,BOT
8,248.54288204444444,244.4079566010412,BOT
9,263.5655176005106,262.628300834632,BOT
10,208.62912524926108,200.3778700330498,BOT
11,140.4225961065673,142.98648277660772,MAG
12,205.79258635750887,201.83290182200327,BOT
13,260.95543789437227,263.7291141334903,MAG
14,121.6551561169903,117.50270125890954,BOT
15,195.64373226899718,179.91848923333333,BOT
16,260.69810637575756,252.29058849683415,BOT
17,293.25547784098785,286.9410715936508,BOT
18,306.970888134872,300.28245614035086,BOT
19,312.9578947368421,305.51791664,BOT
20,315.11535090526314,309.9041665185185,BOT
21,169.48982767058826,202.46404566883209,MAG
22,139.06765364346305,127.85474619346682,BOT
23,205.81456431255253,198.13119756734434,BOT
24,236.16400017066667,229.53409239112835,BOT
25,264.7499968,268.38472284444447,MAG
