Minisector,SAI,RUS,Fastest
0,289.7887316785708,294.71142437034933,RUS
1,245.6184971634568,225.4197126359158,SAI
2,130.11966502225917,133.25981894550094,RUS
3,238.46545921325702,230.33818594207975,SAI
4,188.53221871422443,195.88259729858282,RUS
5,251.58824452022836,241.59783793021646,SAI
6,240.16540428342026,221.15281989003594,SAI
7,251.7720232925836,255.85642837438422,RUS
8,280.5749485221978,283.0211134130444,RUS
9,205.53324418222172,199.68144146501936,SAI
10,200.092534887092,207.69936852236103,RUS
11,269.4866069265306,270.51366537784554,RUS
12,207.74006791222308,210.2162084302793,RUS
13,251.82408006876085,249.50412162520723,SAI
14,288.5587712853837,288.8859754100709,RUS
15,302.4702980888889,301.34270461404293,SAI
16,301.73343771555557,296.1609347606734,SAI
17,237.660145884329,229.3367944384549,SAI
18,267.4881232885197,267.2417571088254,SAI
19,293.8115804814815,292.2636408743896,SAI
20,304.9969787885714,304.2599346284948,SAI
21,301.72865522274174,299.8331331168831,SAI
22,157.18959309640633,148.66853651531434,SAI
23,230.97104592946127,228.95281653821144,SAI
24,280.72773634058626,279.2788610457225,SAI
25,,289.07083413333334,RUS
