Minisector,VER,OCO,Fastest
0,287.55898862688167,285.2504916078431,VER
1,136.22619047619048,122.77346745897168,VER
2,154.25634251009134,162.46428434285716,OCO
3,227.54761904761904,211.31068634531522,VER
4,165.5977281742789,159.4989729681445,VER
5,242.13492063492063,245.0494133260743,OCO
6,233.58761454469936,203.25240092753623,VER
7,139.60859935302275,134.4975149343952,VER
8,232.62965417543438,235.11124874666666,OCO
9,275.83796296296293,280.2879541407692,OCO
10,286.5432287333333,283.64947946666666,VER
11,154.506451372043,142.8180731763056,VER
12,218.56592281904764,224.7536462495675,OCO
13,269.4953288216002,274.3506347378182,OCO
14,272.3106481185185,268.3789546756302,VER
15,105.75473108171099,100.99781209965721,VER
16,219.47712355680025,224.63040911434373,OCO
17,271.8666666666667,278.4113354352941,OCO
18,293.9236978,301.88437526666667,OCO
19,305.0947619352381,314.15769572789117,OCO
20,311.4547619047619,320.9683589368969,OCO
21,292.0203138666667,272.54120154074076,VER
22,159.33779735560267,146.63695678448568,VER
23,237.44407887719296,238.93934555428572,OCO
24,278.61282798861015,281.47369826666664,OCO
25,290.3749984,,VER
