Minisector,HAM,ALB,Fastest
0,307.35262731178716,320.59366806522365,ALB
1,232.51718633284847,223.30286652231294,HAM
2,127.84399820935839,127.256586197595,HAM
3,233.31506922771757,218.06580576948147,HAM
4,191.88375100498433,183.30355045601726,HAM
5,247.95444268293738,237.3673564123075,HAM
6,231.73265379450626,218.83908304873268,HAM
7,258.91996362533956,258.05018956576646,HAM
8,293.1837421172684,294.4815627168254,ALB
9,197.89293121894403,181.94444938418243,HAM
10,209.44126222832958,209.3031394533204,HAM
11,275.0590258739981,277.2481228036637,ALB
12,206.84350708921605,203.053586805963,HAM
13,249.33156630000934,257.3629745523529,ALB
14,293.50477596908024,297.0724617066667,ALB
15,310.94184671072463,314.2437173264733,ALB
16,311.59177706720135,308.6615351030303,HAM
17,209.622552963629,200.29445784610203,HAM
18,264.76476635473193,265.45522205713434,ALB
19,297.12024286989083,304.29739362159717,ALB
20,313.75429959111113,325.3034494275325,ALB
21,313.485309063924,329.10185380533335,ALB
22,141.80347748133678,142.5992847657631,ALB
23,230.9326333931361,239.85831273773346,ALB
24,289.1706069877551,297.57080776136695,ALB
25,303.32500096,,HAM
