Minisector,BOT,LEC,Fastest
0,255.55645892491577,252.50074988543182,BOT
1,217.8336614529765,212.0258958237437,BOT
2,204.81664996376418,202.5440922233683,BOT
3,260.0560110585727,255.18507003486212,BOT
4,275.05729003547685,266.4103410352644,BOT
5,286.00471012173915,284.56645567725445,BOT
6,165.24589353147536,159.25256554331284,BOT
7,183.40510890368554,180.43364429244627,BOT
8,266.80836284749597,265.9828846413537,BOT
9,292.7298622153799,290.78927717352343,BOT
10,303.88154608579504,301.55338536138186,BOT
11,303.592919833173,306.44907495539394,LEC
12,115.96478136524595,113.46603782230589,BOT
13,188.1515493447407,191.45310483572115,LEC
14,270.452576856222,267.8879261972499,BOT
15,295.22076175105246,293.0548767450267,BOT
16,297.0879726259605,301.42637113935007,LEC
17,192.2225827615218,177.0848133064347,BOT
18,227.1771853000885,219.95050997994042,BOT
19,269.91597994530895,268.6747248980948,BOT
20,152.997526957232,150.80088386741036,BOT
21,148.96961397954567,143.5599636720562,BOT
22,224.14631887307291,221.0961368306943,BOT
23,228.51185661872253,226.15473422235803,BOT
24,160.57896131125824,155.59661549855377,BOT
