Minisector,GAS,HAM,Fastest
0,308.1671951601793,300.9833785154457,GAS
1,236.53392401507259,234.64661655931758,GAS
2,138.36779629854186,144.47278019937434,HAM
3,221.29338647606815,223.16280782271892,HAM
4,264.9211996349793,265.98172298001623,HAM
5,290.8878866601117,291.0636072296228,HAM
6,305.6902815445364,305.6183913155296,GAS
7,283.9615150573575,285.5165503717188,HAM
8,176.27634788857736,182.1755850258952,HAM
9,242.93462156182073,244.21029306591578,HAM
10,277.2153158972096,274.2241464520154,GAS
11,259.32084427434984,264.20799794473555,HAM
12,204.39516181285617,213.39959655175798,HAM
13,131.4243110420325,133.63987806734704,HAM
14,123.43054292000646,128.42219186399979,HAM
15,165.51241968012494,170.90041449905,HAM
16,124.79093521056956,129.86125980904532,HAM
17,226.57553187766413,235.51217743923343,HAM
18,188.50863617511152,195.6339861859856,HAM
19,164.78591122085456,168.23638394647472,HAM
20,249.7618524881719,247.57682556750655,GAS
21,279.4822929093231,275.5453135847416,GAS
22,294.01124107659996,292.69839491383385,GAS
23,302.12777799111115,302.2779138236363,HAM
24,305.55503363438004,308.21520697404037,HAM
25,,308.0,HAM
