Minisector,RUS,BOT,Fastest
0,296.1496685717749,287.46125376394696,RUS
1,299.36093753333336,297.34106397645763,RUS
2,276.1224825596922,274.67417466758457,RUS
3,108.21358784741,110.41458394764108,BOT
4,219.76927505326444,222.25474951923442,BOT
5,272.1172321968254,265.0722609084338,RUS
6,207.26261898675423,201.774370906147,RUS
7,157.44556228062558,160.8274064282342,BOT
8,189.35824688536798,200.94067944302134,BOT
9,199.81961607240828,210.06752498521064,BOT
10,114.00367002267217,118.81597729753082,BOT
11,227.97876563352892,222.56407991999475,RUS
12,115.41896257243158,113.67179815638983,RUS
13,220.67226481828595,223.8315294126869,BOT
14,273.27191944746164,270.3067740072752,RUS
15,208.46810884181298,201.7241922047346,RUS
16,179.4970223819285,186.37139604733045,BOT
17,233.06287676185164,245.90452824512482,BOT
18,193.94137608100755,187.31203441461636,RUS
19,181.9094695589787,192.70519306229804,BOT
20,265.80354235844146,260.16278789957437,RUS
21,293.1216072,282.62726200272107,RUS
22,163.06099579334196,159.40689595350563,RUS
23,208.516257447696,214.71973329739308,BOT
24,275.24104787206346,269.7015248767083,RUS
