Minisector,GRO,ERI,Fastest
0,291.19309677876,302.9505487046523,ERI
1,298.15000064000003,306.1779762285714,ERI
2,161.53054235704653,155.75072446808076,GRO
3,221.95208325333334,227.11824489142856,ERI
4,271.51666714074076,283.4830881882353,ERI
5,294.0156248,311.2222073993531,ERI
6,303.1333331911111,323.1683333688889,ERI
7,170.58087190875224,149.3927672567742,GRO
8,133.29851222857144,136.75416803137256,ERI
9,249.5779338495699,254.49912396252856,ERI
10,284.11718766666667,290.75703146666666,ERI
11,296.5588230901961,305.9788888888889,ERI
12,148.62403705855587,144.59800972938623,GRO
13,196.96557027288767,199.6201096347826,ERI
14,258.8964708429632,257.7638202330349,GRO
15,193.99864132173914,195.2215427074921,ERI
16,218.9768949818182,227.80412059402434,ERI
17,208.85102794805195,213.9244026975099,ERI
18,240.86937905608465,248.61513235087716,ERI
19,271.9635877764506,277.2678928557214,ERI
20,289.46348047058825,292.23992213446996,ERI
21,246.14758631214778,247.98435791435662,ERI
22,214.44526496969695,214.36014504588746,GRO
23,199.86684864927537,214.07341373968254,ERI
24,262.6550936296296,269.80435591361277,ERI
25,281.05,,GRO
