Minisector,LEC,STR,Fastest
0,316.6199274931677,315.47499059938804,LEC
1,324.28586132491654,322.95804224559697,LEC
2,327.59473043953636,321.2158942666041,LEC
3,202.0943681114236,197.5762342592996,LEC
4,116.84228403346755,116.70135400577685,LEC
5,262.9141406853861,261.5040610464747,LEC
6,297.4846160932362,295.95256252730377,LEC
7,314.25652718493967,301.26041662222224,LEC
8,287.7089802463311,277.6083312,LEC
9,140.6321365865624,142.25189312690148,STR
10,219.2880151358097,221.5120179610141,STR
11,210.6598103489434,210.49455086282978,LEC
12,192.40156220446946,194.4060453006695,STR
13,264.62647991936643,266.23692746948853,STR
14,301.32839006873706,297.44800708240166,LEC
15,318.70975440629076,302.4411458222222,LEC
16,258.9331778068751,261.5872561917052,STR
17,198.3632415304536,198.84403391302402,STR
18,267.8823243504754,266.57206712098764,LEC
19,302.42246344347825,298.8320655768116,LEC
20,317.9900999978109,306.79652782222223,LEC
21,304.8368069333333,297.7578124,LEC
22,199.95769989564192,206.89917235555555,STR
23,258.75401157530865,260.0043209481482,STR
24,299.8110618557082,298.2589637511078,LEC
