Minisector,RUS,OCO,Fastest
0,296.17906279028693,293.07321443809525,RUS
1,252.58047518247156,237.6620269429277,RUS
2,195.02475019163364,190.54138484174118,RUS
3,263.83026713513226,260.5193444227032,RUS
4,228.2527479554281,222.61767737081593,RUS
5,108.94196644442847,111.05448351599968,OCO
6,159.72105829182055,164.5788068222794,OCO
7,254.82545799102715,258.629098557594,OCO
8,287.57470341554136,286.11580914034613,RUS
9,303.08630760116944,302.3854310509317,RUS
10,309.56447923634164,304.35733893657726,RUS
11,217.5144495880807,224.71159543043578,OCO
12,139.02270682323186,134.597783096489,RUS
13,251.48741874988005,251.2875095113721,RUS
14,288.11225345015873,287.94460787758044,RUS
15,300.6711268537566,298.80795456969696,RUS
16,299.5430688815264,291.3098209406922,RUS
17,259.4610977031332,248.13863354638448,RUS
18,179.17277900728928,178.441793803275,RUS
19,177.6930536274867,175.45589526484736,RUS
20,178.52903472075408,171.27689508281807,RUS
21,247.10812192784422,239.25566645280665,RUS
22,119.74327916313996,117.11640753560583,RUS
23,192.3056288722442,196.25034813079063,OCO
24,273.4233972588959,272.65870402184703,RUS
25,287.72500096,286.0,RUS
