Minisector,BOT,HUL,Fastest
0,274.77508282457035,267.629513591805,BOT
1,293.4104400935685,287.1426885826241,BOT
2,287.6460960388357,285.5124792986921,BOT
3,173.66750620468065,172.87003645231292,BOT
4,117.25738271131974,116.99363004121366,BOT
5,233.55827249165205,231.1693080320456,BOT
6,282.5497837503962,275.15761589530814,BOT
7,296.60636226405006,287.63441125408326,BOT
8,163.97354476052706,169.92865044067833,HUL
9,141.5607239736611,135.31599723328492,BOT
10,250.39567076770945,244.22093335423628,BOT
11,286.1547880064632,278.2261776926882,BOT
12,295.9152726194697,290.9632454318366,BOT
13,280.0847642370419,271.4746921653357,BOT
14,297.9765216962386,291.3184763647297,BOT
15,298.11151098001943,297.2185406114214,BOT
16,248.421170603554,242.37849665154351,BOT
17,224.49328671531475,210.28179520796667,BOT
18,277.61662257680183,268.3798382014019,BOT
19,300.6878302409539,293.8849507688987,BOT
20,301.4415309970538,300.68286271993173,BOT
21,231.98541130318648,221.9862573574167,BOT
22,255.69288367097437,248.37028070611697,BOT
23,137.8662911054002,140.83403353194117,HUL
24,212.81072185051266,198.823434459383,BOT
25,257.2333312,248.45138844444443,BOT
