Minisector,RAI,ALO,Fastest
0,296.0720760981288,287.08259846274507,RAI
1,306.94611107555556,291.80963553333333,RAI
2,170.01679199616174,167.0898995967527,RAI
3,230.35118958730158,227.93782730217578,RAI
4,284.79236990156073,273.30000786859455,RAI
5,303.23422605714285,288.9325524,RAI
6,309.890625,294.3374864741945,RAI
7,177.31704328894307,161.89266769418708,RAI
8,132.714963412128,137.71146749495722,ALO
9,256.002394369884,249.8779770751323,RAI
10,287.4477178565079,278.6730977891159,RAI
11,299.2546568853312,286.01953133333336,RAI
12,153.77609770733042,144.64556050080932,RAI
13,193.70889493959683,200.93281402711364,ALO
14,264.7362455483512,256.35416687407405,RAI
15,208.61179835151515,197.97893749927803,RAI
16,224.0427852184333,221.0834037737774,RAI
17,218.10227345454544,219.92927461245338,ALO
18,246.61907811929822,246.55508191326584,RAI
19,280.0714700423529,273.5402437569344,RAI
20,297.3296872,288.09880926666665,RAI
21,266.82526213333335,268.4470597647059,ALO
22,231.51901625955577,224.7489844054267,RAI
23,211.59239058550725,207.76977711515153,RAI
24,270.07972242067194,263.1454270168842,RAI
25,286.5249984,,RAI
