Minisector,RIC,NOR,Fastest
0,271.43541223098913,269.77361126736844,RIC
1,298.5761764392157,297.534843756041,RIC
2,309.6799573005128,311.4927858055977,NOR
3,319.38589225589226,320.9732777268148,NOR
4,324.64143272442067,325.69006949333334,NOR
5,326.8993332622222,328.76534223352405,NOR
6,187.80334717355373,192.69268884334974,NOR
7,106.44827934051371,104.11502873457557,RIC
8,186.40164037013653,183.1754776752268,RIC
9,258.84434048888886,259.35673549874684,NOR
10,288.9251035813485,288.2821189886631,RIC
11,154.55010899044734,154.52627134150458,RIC
12,99.13077996680137,92.98530883154446,RIC
13,116.50248740884408,113.05576283641196,RIC
14,217.23708707225728,207.9742674010745,RIC
15,181.16659650174842,178.70006528161616,RIC
16,210.75731390696575,213.22128977659756,NOR
17,174.77396141103597,173.06722544077508,RIC
18,237.61383482867168,238.80958724828557,NOR
19,279.2241621008549,277.02741190557,RIC
20,238.38739954466334,225.26138862925688,RIC
21,143.62719022035856,135.9402285769949,RIC
22,94.51971326489219,95.83848018290183,NOR
23,125.80042835959827,118.90269321637429,RIC
24,220.90494485986616,224.80066302430015,NOR
25,255.2375,,RIC
