Minisector,ALO,OCO,Fastest
0,293.6317923641311,282.7934839254701,ALO
1,151.59169416278402,153.5106332066609,OCO
2,136.68888303955893,143.23273450842743,OCO
3,221.0967577232784,224.1787604212011,OCO
4,285.23380000000003,283.21963955336787,ALO
5,280.49583561571717,287.91436084293275,OCO
6,136.58275762045926,133.2183275189577,ALO
7,136.72686591026837,134.48269557370128,ALO
8,135.64403532459767,139.86823580316116,OCO
9,179.95597213465848,180.82394231493004,OCO
10,130.82630094489355,130.84518540168895,OCO
11,117.23307650771709,120.97152943612039,OCO
12,161.99786249593183,155.2784029994605,ALO
13,266.6954664695886,263.0371795145299,ALO
14,288.60275254949494,285.9792974421204,ALO
15,146.71139038829858,143.196870038974,ALO
16,206.3335643340606,203.6263934025974,ALO
17,167.40582067974768,162.82539491383744,ALO
18,271.40686342273307,269.4425765558793,ALO
19,298.52264177922905,294.9542965367965,ALO
20,313.1017542545455,310.9412198249697,ALO
21,321.5717354516452,319.30052153113746,ALO
22,324.6469576888889,322.9308560806723,ALO
23,326.70797622857145,324.37798226438713,ALO
24,321.9429834054834,317.22351140465946,ALO
25,,313.43611128888887,OCO
