Minisector,HAM,SAI,Fastest
0,273.79089511073386,277.183489510559,SAI
1,289.60054292268376,295.1037824487597,SAI
2,224.0494097715,222.04818846733772,HAM
3,133.57981578533315,125.76723432366411,HAM
4,186.4806673202878,183.53424436397214,HAM
5,125.86287764483005,120.39374231135554,HAM
6,212.50847029333332,213.777415241014,SAI
7,265.89732049882406,258.31267383492064,HAM
8,186.6528033063782,179.08491586742903,HAM
9,183.3690630993753,184.00454369060776,SAI
10,264.09068247453416,265.4008805763975,SAI
11,192.75345730331827,192.22473012320575,HAM
12,168.91007230607394,164.12628921319958,HAM
13,256.6732640284792,256.1075003733333,HAM
14,272.48778437432713,272.68115982608697,SAI
15,286.9172149984753,285.2675629225009,HAM
16,209.76315709460317,204.3976556702095,HAM
17,204.80153925124233,192.7553591856167,HAM
18,247.39320849382716,244.1330144,HAM
19,282.86261394819354,283.8580551354854,SAI
20,293.03939374545456,294.2785980589203,SAI
21,211.0667981551594,210.085352935756,HAM
22,154.1966769417944,145.8790773634641,HAM
23,164.60127067517965,158.17193367513204,HAM
24,227.25946109688013,223.89464791356755,HAM
25,260.31380698012947,261.85714285714283,SAI
