Minisector,ALO,OCO,Fastest
0,277.2081637285532,280.333519874188,OCO
1,295.28296885428574,300.189181095524,OCO
2,293.5272586020834,296.50912177342406,OCO
3,175.11133978737575,171.8142892524108,ALO
4,208.64163574718617,210.23466100634923,OCO
5,191.5595962188633,197.83975069421558,OCO
6,176.65710023622324,170.81243078629637,ALO
7,195.9385116829975,194.57314603413633,ALO
8,246.89804248814815,248.8940306727202,OCO
9,259.41673690652306,256.2926704499471,ALO
10,165.58496973963523,161.48781017932467,ALO
11,232.44317598864333,229.25276182474994,ALO
12,118.39672775431858,110.50848813286048,ALO
13,222.32829019184052,219.64480294830759,ALO
14,272.9808693577143,274.1835156305589,OCO
15,289.82101156799206,289.35559255188406,ALO
16,205.43384241777778,204.90338431448043,ALO
17,178.38842827083616,176.7777173120893,ALO
18,261.7553690446887,264.48510114824126,OCO
19,289.9683712430355,291.0978458184748,OCO
20,302.5011563493333,304.0603029430303,OCO
21,303.2345488845773,305.13583859790634,OCO
22,267.15862734592594,261.2799529723821,ALO
23,111.59893973800456,114.45499205375424,OCO
24,234.86262112183726,236.37229948432494,OCO
25,263.97222400000004,,ALO
