Minisector,RIC,LEC,Fastest
0,303.2053769208089,319.78916671999997,LEC
1,230.4373777882353,244.15795351919192,LEC
2,131.38634314799745,128.2138856906404,RIC
3,235.56065725001514,238.77727237171717,LEC
4,189.56541629333333,182.87930917806563,RIC
5,237.98116285860056,246.51595982857143,LEC
6,221.95674388377088,228.06729793939394,LEC
7,254.11570751440178,257.7180085356343,LEC
8,283.8197188544788,293.10977583589744,LEC
9,203.93980289122806,201.61267548454498,RIC
10,199.96023838064372,203.92377779150578,LEC
11,270.59464274285716,275.17605448723924,LEC
12,206.44396840370763,204.79051007962448,RIC
13,249.62986298952154,245.85080695053765,RIC
14,293.05215183579327,290.2325472879834,RIC
15,306.37849996799997,313.99307757500907,LEC
16,303.5002627413109,320.7894096888889,LEC
17,227.19351733456583,230.16400715626418,LEC
18,270.6109218525731,271.38074732873565,LEC
19,299.66639185934065,305.4101189259822,LEC
20,303.24483327999997,324.7739131362319,LEC
21,297.0760802765432,327.87373956045565,LEC
22,150.17056122102207,143.49190155900496,RIC
23,235.94540267153428,230.28744791484593,RIC
24,290.23355367997465,301.2411786592074,LEC
