Minisector,RIC,OCO,Fastest
0,281.9042565883454,301.34393011757714,OCO
1,292.0035716063492,315.64188586666666,OCO
2,294.7914583466667,322.92892162877024,OCO
3,288.6519923478261,319.9333041066667,OCO
4,238.17715939204612,183.12830333476353,RIC
5,190.16003868076598,220.64353931553754,OCO
6,255.5243542955706,268.91155287272727,OCO
7,276.00081172640694,264.6108661003951,RIC
8,205.60006229274234,184.62330773333332,RIC
9,203.56666286695477,149.3925255799638,RIC
10,139.3751533895216,182.7748947162034,OCO
11,245.5433273636594,260.89185606870797,OCO
12,270.1558133588458,248.048230553887,RIC
13,217.6724402616362,230.07439670304905,OCO
14,258.3906273518278,267.36117415757576,OCO
15,217.28670441925922,171.4579485722919,RIC
16,183.51563470829223,223.57687345718662,OCO
17,256.5774151136125,246.7517736174221,RIC
18,151.41361287971904,137.1472346430029,RIC
19,210.5594259086221,240.2687153858061,OCO
20,270.14505684813423,279.22182542222225,OCO
21,288.589430092921,242.07165368145417,RIC
22,160.05656013061983,145.7856818948211,RIC
23,181.57997064575568,215.67330591811458,OCO
24,257.27478747911675,275.7509370356411,OCO
25,273.8,293.6,OCO
