Minisector,NOR,OCO,Fastest
0,264.980157566377,258.5583844053907,NOR
1,133.74843026892114,129.73181278497415,NOR
2,270.35122520674497,268.12785255249963,NOR
3,316.01800403666164,312.0495447589234,NOR
4,315.65302576203175,313.0208553521357,NOR
5,327.5731085274622,321.99086123377776,NOR
6,333.2847655012121,327.0319588703704,NOR
7,339.62208315944133,322.4025181078261,NOR
8,198.72070451595656,204.33228919176258,OCO
9,201.69726956867328,203.76574608079736,OCO
10,178.63951334300089,182.2906429076133,OCO
11,172.79358332132892,174.01348542925064,OCO
12,260.27457661063903,256.90138155084486,NOR
13,279.4808804138146,272.4164174716699,NOR
14,287.97653572613126,280.662287249418,NOR
15,274.5457460938272,267.8653483150667,NOR
16,177.88523425346332,173.92236357067915,NOR
17,200.43709335808612,188.75511631897274,NOR
18,249.86470007119303,250.57720141912037,OCO
19,292.26145756025835,293.198893732516,OCO
20,313.2923340794876,313.8797283825785,OCO
21,319.91400879836516,320.80357499362316,OCO
22,317.05458805229597,316.08751939875776,NOR
23,249.26982839842145,246.8873074071767,NOR
24,121.43198855600272,122.88648438830639,OCO
25,235.90000213333335,,NOR
