Minisector,LEC,NOR,Fastest
0,276.26880063635303,272.86776714438355,LEC
1,295.21686850030454,292.0264387365086,LEC
2,301.31587190075606,300.33496243775477,LEC
3,126.92165825186075,127.89655893251745,NOR
4,200.40714648398918,194.74617766545737,LEC
5,259.87790198986494,259.7367348714276,LEC
6,139.056372207406,139.06017263750454,NOR
7,208.72817060703466,206.57701402551882,LEC
8,261.9954518207464,262.15327463862775,NOR
9,284.09958335636543,283.44748629851136,LEC
10,241.07137060474219,234.8527403372361,LEC
11,178.92758966075857,175.37357630523368,LEC
12,194.99676032845923,194.56547937352215,LEC
13,145.13977970135278,138.25193597057032,LEC
14,177.51090074354735,170.741941381427,LEC
15,162.10995599693925,157.10974080210113,LEC
16,220.54061993312177,223.9018104621783,NOR
17,235.93268702058282,236.0240475203109,NOR
18,244.8335460808123,243.1711851339825,LEC
19,239.51776410598228,227.9951584223548,LEC
20,146.13685938978742,145.35265012257668,LEC
21,133.72555286620965,129.49985182104018,LEC
22,171.52014926712,173.63901692211692,NOR
23,149.67204534671842,151.0763293261176,NOR
24,234.26003353532292,236.03796554186675,NOR
