Minisector,PER,ALB,Fastest
0,257.43447970088187,258.0808854316916,ALB
1,223.03592912696973,226.1593500072111,ALB
2,141.54317311082505,149.94956304060668,ALB
3,237.55043451169894,241.21802816894467,ALB
4,267.0708331093333,272.2127061751636,ALB
5,171.26624343893118,181.26058646219403,ALB
6,99.0424882621806,99.29735293202961,ALB
7,137.99364209628993,133.0560805719951,PER
8,249.81333794318198,247.4219727475407,PER
9,167.54627362879947,168.25904014923296,ALB
10,182.69208901661008,182.70188593400565,ALB
11,257.8520740466781,254.39839707545786,PER
12,243.5372599784142,245.78000239629404,ALB
13,260.19877831296776,262.52019718375436,ALB
14,283.58835026756816,283.6456518492754,ALB
15,269.0560215139591,276.4397094095238,ALB
16,135.15131040421338,139.83819285432108,ALB
17,230.82984205999566,229.78270813933352,PER
18,277.976449715942,274.9498279595253,PER
19,288.963586968116,285.33695647536234,PER
20,291.69813314632034,290.8411015055667,PER
21,296.54438409275366,296.128010444585,PER
22,141.23106721382618,145.2759374684025,ALB
23,80.56143746330567,82.15889848556066,ALB
24,155.16632168284204,164.71748275450923,ALB
25,236.60416533333333,,PER
