Minisector,VET,RUS,Fastest
0,270.2652687610214,270.5695008571428,RUS
1,288.5133745341799,288.3324372746215,VET
2,271.65751440577196,275.37224184126984,RUS
3,153.86911208008877,146.5537477272369,VET
4,188.88685446830345,186.39628378304118,VET
5,166.8436746160684,169.75704461218163,RUS
6,155.9612997419372,158.0382105022643,RUS
7,186.13029741222263,183.61006776560632,VET
8,236.44834213469386,235.35398512727184,VET
9,228.45618829660614,232.95276496507935,RUS
10,141.72649004225661,140.48476378650605,VET
11,213.48904152380953,216.8925164768142,RUS
12,108.33313597307581,102.96460724221026,VET
13,209.11671335076477,211.21393725996097,RUS
14,260.31970812266667,263.41202182834445,RUS
15,269.58627054476193,271.7931952761905,RUS
16,173.01724407998813,166.36859363964993,VET
17,154.80273579783503,159.80158708754522,RUS
18,251.04874448373425,252.56895134566537,RUS
19,277.10324746305406,276.26533534376813,VET
20,289.26627659636364,286.43482925051757,VET
21,278.3525495828511,281.7712257992117,RUS
22,232.3834932995607,236.32965081280517,RUS
23,97.89544641737406,101.55701634146746,RUS
24,218.32677408388255,227.5748034464368,RUS
25,256.6428544,,VET
