Minisector,TSU,HAM,Fastest
0,307.73514290962964,312.3575115940741,HAM
1,182.0523303774638,192.2253825635222,HAM
2,113.89221935117502,107.9201540839137,TSU
3,202.33837284749313,194.53653941404838,TSU
4,257.3370161149783,255.87076424078103,TSU
5,285.3814140928427,285.8567132847619,HAM
6,298.97192746638416,302.1670404001114,HAM
7,228.60844720734198,227.20204582605678,TSU
8,146.0070793047453,141.1612757906105,TSU
9,230.97204285778537,225.53589249026146,TSU
10,269.58102457102757,271.09071694731523,HAM
11,222.4534770991023,234.8767776587262,HAM
12,174.3669419675118,174.69442824136752,HAM
13,106.46772835290469,101.8061137596665,TSU
14,108.60365504665735,105.54654837457635,TSU
15,133.1234501193925,133.64729489012404,HAM
16,115.28214700254544,115.58803678340438,HAM
17,202.25587498259642,203.9671549419719,HAM
18,160.04442343160585,139.83186401735352,TSU
19,145.60984577610873,155.42618991711774,HAM
20,239.14316779891544,245.19604250541911,HAM
21,273.3490882207511,277.01217166526436,HAM
22,291.49785248085703,298.23969651666664,HAM
23,299.93010428663104,310.15645973206114,HAM
24,305.1897058635294,315.50215280888887,HAM
