Minisector,SAI,LEC,Fastest
0,298.4514446443427,304.8090248999619,LEC
1,137.3396480878192,139.2747357201834,LEC
2,213.41987154449973,213.5384154673439,LEC
3,274.70484036548845,278.05289656261874,LEC
4,313.7349612612136,319.5583647129252,LEC
5,316.4818749061623,315.145748358459,SAI
6,154.33493009958127,145.34840193986645,SAI
7,241.8461596442392,242.16518887152003,LEC
8,113.46732239274317,112.95263218507036,SAI
9,146.3768002855241,146.49120968557625,LEC
10,272.3902227068787,276.0594926863768,LEC
11,292.8347851954424,300.42551123116885,LEC
12,263.3036500617143,241.59202142002115,SAI
13,154.10487680447469,161.63398716598363,LEC
14,270.2149197963529,272.0183145354937,LEC
15,306.58846096739035,310.6474529649524,LEC
16,323.52203950504276,328.22091584032694,LEC
17,330.3878473777778,337.89909483301585,LEC
18,336.0678620087359,348.1946854639456,LEC
19,334.7880950857143,349.4526784240602,LEC
20,241.0841572164957,190.98154161833529,SAI
21,146.97915847610676,161.98229772957214,LEC
22,276.2911855930253,274.9160889980771,SAI
23,311.07266704,313.38237729939397,LEC
24,326.1527415664645,328.20492750840583,LEC
