Minisector,RAI,GAS,Fastest
0,276.1204650605557,267.9856342405211,RAI
1,293.7905680753584,285.6338365947584,RAI
2,301.6098207560679,293.98030726928613,RAI
3,130.7866083078298,130.51279648761508,RAI
4,194.46322437613614,194.35389247042076,RAI
5,261.1275580105663,255.9243767068099,RAI
6,142.22402730824345,144.49845602679676,GAS
7,203.70230925831143,202.27897915151516,RAI
8,263.38291268697174,256.74137282307544,RAI
9,284.8518231333333,278.70468753333336,RAI
10,236.56821911569492,229.34217441605463,RAI
11,188.85383665808905,180.25215232865835,RAI
12,190.19947618599798,191.50572303747833,GAS
13,148.13867114297736,145.07947611498113,RAI
14,172.92635278380507,171.4360526202499,RAI
15,159.67312192112718,155.81379845307586,RAI
16,209.7768124360351,214.66638098048782,GAS
17,237.93504876109463,230.754847698324,RAI
18,239.8059039921711,232.0440504502647,RAI
19,256.9129724991625,242.81599923434806,RAI
20,142.2492002114188,142.70317644183052,GAS
21,138.15756358713358,138.06773141995794,RAI
22,166.7348256902939,167.65619760306333,GAS
23,151.08685182581635,148.4766864990812,RAI
24,231.47848675285007,221.60361584528485,RAI
25,,253.4253741608366,GAS
