Minisector,ALO,GAS,Fastest
0,267.4400053472194,267.272000048,ALO
1,112.12865105437528,115.01992649692762,GAS
2,151.78612290666666,157.30278477081856,GAS
3,208.10921234047865,210.93562590222223,GAS
4,155.734159423204,154.48749729232182,ALO
5,239.25245679307017,234.2469733366072,ALO
6,216.8950846565244,195.85857555132276,ALO
7,128.20124112609523,130.39613477063045,GAS
8,230.119109403226,231.09390392177778,GAS
9,274.330456759299,272.9818421350227,ALO
10,273.1736332444445,274.93667710944027,GAS
11,149.1363320309936,145.79520205762557,ALO
12,221.02899051959596,218.38921487603304,ALO
13,271.15666037502643,270.11803091289744,ALO
14,262.1236992945326,271.35262923801025,GAS
15,101.46560078550054,100.48028617285287,ALO
16,214.07178442519472,214.7695968762634,GAS
17,270.40190500961165,266.47502081628545,ALO
18,290.2565680615681,287.5589343459197,ALO
19,301.3164681656232,297.12607815011654,ALO
20,306.385856029025,303.13856061269354,ALO
21,279.5580357142857,288.62104166666666,GAS
22,152.03864484466746,150.96333194277264,ALO
23,233.62029999240525,218.56444486584186,ALO
24,274.7913972548987,271.0073809904762,ALO
25,283.80637830613165,278.0,ALO
