Minisector,VER,HAD,Fastest
0,313.0249300945454,329.9223295608391,HAD
1,239.11125580060215,269.3928677236428,HAD
2,133.00903303351043,130.2882531832612,VER
3,222.07111086814814,211.48608946405702,VER
4,266.98248891241434,261.9884124451243,VER
5,293.5279218346194,286.3573529411765,VER
6,309.1378039595828,295.00104163333333,VER
7,284.4645041756863,275.8988985003182,VER
8,175.34213218812462,169.27684339907836,VER
9,241.46318682373922,237.60275316772035,VER
10,274.61793762329637,270.49087962962966,VER
11,260.6290446682353,260.692796901731,HAD
12,210.62384405665324,203.58027207572874,VER
13,125.61400374621779,127.75688173353399,HAD
14,123.84842381442586,117.82266244209428,VER
15,156.832334709506,164.35691407541387,HAD
16,124.4088212451245,117.26586143500397,VER
17,229.4544251668027,225.01348817523808,VER
18,186.91808807081406,206.10900991624632,HAD
19,164.32442364014074,144.74785671248372,VER
20,245.13143441955418,240.68556584465608,VER
21,275.3228839068783,270.74042027346263,VER
22,294.1273563854912,288.7762937062937,VER
23,306.29126107493767,300.847020346537,VER
24,311.7412202666667,307.8926786514286,VER
25,,308.3708330666667,HAD
