Minisector,LEC,OCO,Fastest
0,284.49385798787876,301.34393011757714,OCO
1,298.95940024037424,315.64188586666666,OCO
2,305.0720237714286,322.92892162877024,OCO
3,306.30228174391533,319.9333041066667,OCO
4,251.72498964858826,183.12830333476353,LEC
5,190.7471384872504,220.64353931553754,OCO
6,254.19799892710805,268.91155287272727,OCO
7,280.516581478458,264.6108661003951,LEC
8,207.51532889150013,184.62330773333332,LEC
9,207.16728241777778,149.3925255799638,LEC
10,140.9541609267607,182.7748947162034,OCO
11,245.00716620799997,260.89185606870797,OCO
12,273.6299735266264,250.06445799246177,LEC
13,217.93097389387756,227.98828557218482,OCO
14,262.1726545298183,267.1793559757576,OCO
15,224.37299543703705,173.90913912467283,LEC
16,183.2696143665773,221.88513978609663,OCO
17,257.013431347412,246.7517736174221,LEC
18,154.99825667677194,135.5277243567252,LEC
19,207.3268485170068,238.91863658891614,OCO
20,269.44986481928515,279.22182542222225,OCO
21,288.8626983111111,242.07165368145417,LEC
22,162.83414537735248,145.7856818948211,LEC
23,178.8581929859944,214.19920229958052,OCO
24,257.0132256989863,273.96684612655014,OCO
25,,293.425,OCO
