Minisector,HAM,STR,Fastest
0,276.7874121821167,271.29917128707484,HAM
1,293.6143308901935,291.4311856409019,HAM
2,288.2825223671014,289.25038882133333,STR
3,190.66045455628816,181.31051166773628,HAM
4,129.18489883835983,123.40166649010966,HAM
5,238.48184603253685,236.83093555977305,HAM
6,284.6258660114214,280.5622191634804,HAM
7,293.68266666666665,297.6505783555555,STR
8,183.6911530533063,184.04693897223765,STR
9,150.62028479093996,140.4151092735206,HAM
10,253.41378073732844,249.39350542111444,HAM
11,289.3744283153148,285.25727931750384,HAM
12,303.07968033649655,298.1837617859048,HAM
13,282.41316672,278.781646510483,HAM
14,299.8137859474285,298.02302403047617,HAM
15,302.4310515873016,302.9518529128885,STR
16,265.49605896830496,251.75188954665228,HAM
17,232.44261834622353,220.32289642232428,HAM
18,283.8303337386667,279.17885846913583,HAM
19,308.1063323076823,305.20713608861126,HAM
20,310.0295072562913,311.1755205333333,STR
21,237.7339868677994,224.577629447789,HAM
22,262.6525512272109,258.4874280719206,HAM
23,140.25271758231466,136.49415639439167,HAM
24,214.85451497095292,209.8562730165405,HAM
