Minisector,VET,PER,Fastest
0,282.4895933000536,277.747979064818,VET
1,295.61890326039946,294.9622950384486,VET
2,243.81101054509415,223.03268817737612,VET
3,120.94894859287628,111.39693345551258,VET
4,146.02322692092162,138.86080682214967,VET
5,254.3806930582553,251.93302020715137,VET
6,256.20672374062406,238.43500261978022,VET
7,130.95450402706427,124.30749724920841,VET
8,251.09268820255224,249.1466264224855,VET
9,265.817091340472,254.12308555789198,VET
10,220.0634828062257,201.0239336887774,VET
11,148.7455376644271,140.7230253554773,VET
12,218.65772500491914,214.44798971838202,VET
13,261.92009436315914,248.28176632387962,VET
14,118.57460971033343,111.38071682019216,VET
15,206.2210428750628,196.27381453815266,VET
16,260.9673791639611,260.21081264765934,VET
17,286.37953374744774,287.78066325295276,PER
18,297.15906448372596,301.40672649144955,PER
19,300.7433499645454,306.64583338666665,PER
20,299.6467417966882,308.8931621411306,PER
21,159.28041597749865,126.92649260054111,VET
22,163.7857149806396,183.48386615500053,PER
23,205.3288904288447,186.43913878498793,VET
24,242.13464052329428,243.3166679935552,PER
25,267.80597104269725,,VET
