Minisector,ALO,ALB,Fastest
0,279.4012531496013,278.37427996414857,ALO
1,129.3110914281704,117.6009055241031,ALO
2,154.3418028358773,148.0856789245213,ALO
3,206.75067296256532,208.21037302002887,ALB
4,165.9950696784849,160.70454356708666,ALO
5,242.73875995787117,240.45994401966036,ALO
6,220.04709686176048,194.52671351966606,ALO
7,132.7959509094466,132.21977236462584,ALO
8,232.71748408380952,231.89957134754346,ALO
9,274.97063267506724,273.2941483915593,ALO
10,284.5215125252149,283.55814072888893,ALO
11,150.9588441407898,143.28687693825395,ALO
12,216.40438204225148,212.16242968449436,ALO
13,266.66661298023496,267.3065441169665,ALB
14,264.100819441552,265.5485817495238,ALB
15,101.24368694741702,97.72504805723112,ALO
16,213.42090535996994,218.2730166125255,ALB
17,269.18329043666273,269.98316217640695,ALB
18,289.7771648194211,293.8652426179663,ALB
19,300.4487514969705,302.93297998085063,ALB
20,304.1656862745098,310.0545336848485,ALB
21,284.3120300203654,286.2251659391388,ALB
22,151.45840586080237,145.44614894777771,ALO
23,232.45398366766744,233.84381135528344,ALB
24,275.4656510430461,275.9414588266667,ALB
