Minisector,RIC,STR,Fastest
0,285.25318891462666,275.70989709847055,RIC
1,302.7413189483242,292.74872189616036,RIC
2,297.1689093665563,290.59732688776734,RIC
3,167.3426060977321,170.03060885901206,STR
4,124.27367821343432,128.5700893173186,STR
5,242.0071955038197,240.97114866946828,RIC
6,295.7953931140766,278.1544920560315,RIC
7,305.6960177030747,280.39794369034126,RIC
8,176.67837916983368,182.30286626525267,STR
9,145.81688568452032,150.18041292499032,STR
10,258.75343135317934,255.81081309484418,RIC
11,298.2254799253761,287.7390278259078,RIC
12,308.7541305918647,299.0406530901595,RIC
13,276.8218155664589,280.63644290754183,STR
14,301.84543685714283,293.0469097688075,RIC
15,303.56798330723143,294.3814401411454,RIC
16,249.381300545156,252.43282479025814,STR
17,223.53154990329452,230.98599322857143,STR
18,287.4390006186666,275.6739052275064,RIC
19,318.9131007523051,292.77499995733336,RIC
20,332.96550283636367,295.74786223620845,RIC
21,221.00434067648033,226.87473911373058,STR
22,258.33024746666666,256.30096581955956,RIC
23,144.62155847051406,137.85929889378176,RIC
24,225.78099626114752,225.05457369269217,RIC
25,265.44166613333334,,RIC
