Minisector,GAS,SAI,Fastest
0,291.4635416533333,289.7888158315789,GAS
1,232.8860908964263,215.89194099858668,GAS
2,144.81745579557725,140.9790507619146,GAS
3,219.66275883949555,216.40707773727536,GAS
4,163.1660157,149.63948955556882,GAS
5,169.0862826420891,173.3418596241818,SAI
6,247.59387755102043,246.67023842539683,GAS
7,271.7463094857143,269.22003951746035,GAS
8,279.28055555555557,275.4412949370197,GAS
9,235.8677084,246.74226133333335,SAI
10,228.07819444444445,233.32155733333335,SAI
11,232.98647186147184,233.17567513273772,SAI
12,203.4676281025641,204.4575692380178,SAI
13,138.29285356858614,138.151121667523,GAS
14,148.23401594069253,144.7201643944329,GAS
15,177.3063887593651,179.58602941271354,SAI
16,254.00505424141426,250.97499900952383,GAS
17,233.43167701863354,239.21187324438816,SAI
18,112.66443861946472,114.30699868500764,SAI
19,195.2421294617284,198.6877709157009,SAI
20,188.6728330957319,189.69045234275112,SAI
21,227.08972561490683,227.95900674120082,SAI
22,261.1497004775075,259.60053861801157,GAS
23,277.2739137156924,275.5608691582585,GAS
24,286.3500000533333,284.64291674666663,GAS
