Minisector,GAS,ALB,Fastest
0,294.7827147511062,297.02103546908785,ALB
1,302.518541592381,304.40016664533334,ALB
2,224.16433979048756,216.55122476299016,GAS
3,135.05256589511214,135.67645276140672,ALB
4,216.25035410330412,214.5012530050598,GAS
5,165.30483578770662,156.0118288607268,GAS
6,169.48833990587147,168.2602162763756,GAS
7,248.18467959123808,255.9642757445614,ALB
8,278.13452337665444,280.94302147633647,ALB
9,287.38153989967844,289.5515132294737,ALB
10,258.0165205866667,253.39641237897706,GAS
11,238.45133271640603,236.11641852256156,GAS
12,241.6194122011191,229.14013407505928,GAS
13,212.79978721220198,202.867419262925,GAS
14,132.40469407592852,126.30026794796908,GAS
15,138.80090129260068,132.94128676546882,GAS
16,167.73786661478456,183.8745292478863,ALB
17,252.91037611669435,259.5500036402116,ALB
18,254.85227143728176,227.89949600843443,GAS
19,115.68286487840494,113.13047487240104,GAS
20,187.43585004036618,201.42478187616294,ALB
21,195.1984404670602,194.85572113127398,GAS
22,232.59580265758734,242.10273511869391,ALB
23,269.4358116658462,275.36361603809524,ALB
24,293.0837446596248,298.63735730926163,ALB
