Minisector,BOT,VER,Fastest
0,291.80781313333335,279.9849867428572,BOT
1,131.38741780194042,126.47582904063233,BOT
2,169.23645725714286,164.74315722328652,BOT
3,224.46043702032722,218.72664425941042,BOT
4,173.83594391247217,165.08134136506837,BOT
5,248.2356474074074,238.88372037333335,BOT
6,209.90156364444445,212.12949272380953,VER
7,147.6128606710106,140.47427853227745,BOT
8,242.2009915767196,234.44219336542832,BOT
9,279.60212787856415,274.34228158974895,BOT
10,291.3754764088889,282.47476706428574,BOT
11,155.9709458790539,151.7689867604874,BOT
12,226.35702006971707,217.56175639619045,BOT
13,272.83009214814814,266.99566733544975,BOT
14,280.57195038285715,273.16413271172956,BOT
15,107.48994881269842,104.51799205287966,BOT
16,221.0779806273685,219.17784027585668,BOT
17,268.8629623703703,268.5347216592593,BOT
18,290.41838836265435,288.66053891764705,BOT
19,300.1167145397361,299.51371184217686,BOT
20,305.4899998577778,304.2572916,BOT
21,298.0418231239695,288.72549145098037,BOT
22,164.0843325514371,159.50553583045934,BOT
23,233.09763419316323,232.66008799238097,BOT
24,276.6917798652159,270.9833193596421,BOT
25,,281.83749973333335,VER
