Minisector,LEC,PER,Fastest
0,302.003968152381,287.6875344545302,LEC
1,324.9108716317889,306.3845240888889,LEC
2,318.8427083733333,303.15765254240364,LEC
3,184.50858728123634,186.90636536547618,PER
4,230.03070027252747,225.75500788231645,LEC
5,212.175524460295,216.67241375632184,PER
6,197.78377484976957,197.98150413929085,PER
7,219.24154853448522,218.29511547586208,LEC
8,260.5830226815735,258.47487938164255,LEC
9,267.3513893333333,264.5849634252588,LEC
10,179.5043558514851,182.72907132869503,PER
11,247.42098994000983,243.6152712087912,LEC
12,122.73918429951925,118.92144404888633,LEC
13,236.6005030521166,228.57389889241622,LEC
14,280.50896457416604,274.2904716183599,LEC
15,291.5301586793651,286.07428164103396,LEC
16,214.4380846386079,209.72125204644348,LEC
17,187.28515749252153,189.22773340131354,PER
18,277.88169451548526,269.23358585858585,LEC
19,303.5137783545863,295.0780217518114,LEC
20,314.9789473684211,307.77597219555554,LEC
21,314.94211066213535,309.1502380952381,LEC
22,264.59831344761903,270.7550276779765,PER
23,114.91949697897574,120.56641637456131,PER
24,247.7782485419169,246.12916689066668,LEC
25,283.1333333333333,274.3916672,LEC
