Minisector,VET,RAI,Fastest
0,282.4895933000536,277.6864584789372,VET
1,295.61890326039946,296.33082921862217,RAI
2,243.81101054509415,227.81662167812377,VET
3,120.94894859287628,118.80436220597434,VET
4,146.02322692092162,138.72381235513217,VET
5,254.3806930582553,248.53275025103815,VET
6,256.20672374062406,251.70675089528132,VET
7,130.95450402706427,126.67404195798483,VET
8,251.09268820255224,244.6337139643728,VET
9,265.817091340472,250.03490140507404,VET
10,220.0634828062257,204.762627251589,VET
11,148.7455376644271,143.13595916768676,VET
12,218.65772500491914,209.30293920734746,VET
13,261.92009436315914,254.0310562388439,VET
14,118.57460971033343,112.79823088437595,VET
15,206.2210428750628,191.14081655303445,VET
16,260.9673791639611,254.43319491161432,VET
17,286.37953374744774,284.04646839273204,VET
18,297.15906448372596,296.0622731928083,VET
19,300.7433499645454,303.26022883864096,RAI
20,299.6467417966882,305.09460907830453,RAI
21,159.28041597749865,154.30627721675185,VET
22,163.7857149806396,158.7516510344943,VET
23,205.3288904288447,191.00401186562686,VET
24,242.13464052329428,232.70543511788307,VET
25,267.80597104269725,,VET
