Minisector,RAI,NOR,Fastest
0,314.1597018120894,295.3487922300936,RAI
1,247.70992852347786,246.40459096531387,RAI
2,195.9421282703533,202.09337726052453,NOR
3,265.65325323060864,267.3313360660908,NOR
4,225.92725266759336,228.62808327074828,NOR
5,117.22731606205295,118.20971368551403,NOR
6,176.11739608787943,175.7256511946572,RAI
7,259.00993025871884,255.86323791801308,RAI
8,288.3727083256608,286.15760125347543,RAI
9,301.9668646960442,300.38813859559417,RAI
10,306.03901726765326,304.2608399268672,RAI
11,213.11024478826877,234.90904028065506,NOR
12,143.21904881057822,141.89197014631347,RAI
13,258.08780641056404,250.69946914265117,RAI
14,290.19931620301986,286.74157263377685,RAI
15,301.76629075911075,299.9908017956653,RAI
16,297.85756812335944,295.7811508825397,RAI
17,264.2818445588345,275.3448074044657,NOR
18,181.1978841385078,192.34069060767638,NOR
19,187.38688417073547,200.4003967875974,NOR
20,184.56493750732395,169.95207982854492,RAI
21,249.1046327169307,251.17702344603848,NOR
22,127.8248355454917,140.92178737297286,NOR
23,198.06050292141637,168.30534450423679,RAI
24,275.8211197537769,270.9053451849453,RAI
25,289.8125024,288.7188096304762,RAI
