Minisector,RUS,SAI,Fastest
0,306.0064600193016,307.67213130068563,SAI
1,237.20476014679508,226.38423438896217,RUS
2,121.17787532078144,127.50390174168729,SAI
3,236.9225905323262,231.6664574315052,RUS
4,190.95851940225683,189.88563146230703,RUS
5,243.21040590313734,243.20014023740933,RUS
6,227.03002117967156,224.03837765003175,RUS
7,252.88969168957192,259.66164568832454,SAI
8,293.02101467907124,293.8314831860236,SAI
9,201.42554229007223,200.94560169889814,RUS
10,201.14760424974452,211.33544222491423,SAI
11,271.815153559575,276.3716987408344,SAI
12,214.41480983088022,205.66307183983125,RUS
13,248.35676644091174,254.40874028362748,SAI
14,292.11132688454063,295.91754922350367,SAI
15,309.47138617920155,310.50288774074073,SAI
16,309.4740604631579,312.57654235613273,SAI
17,205.5885881105393,201.91073015492987,RUS
18,260.43899456285715,263.4670327064374,SAI
19,295.617620173436,296.9882279443223,SAI
20,311.83325303719096,312.55468601165944,SAI
21,312.8189725848933,315.2180416213333,SAI
22,147.04392862934242,144.37541518420278,RUS
23,232.94071039346937,235.59242884761906,SAI
24,288.0929504833697,292.38645804712496,SAI
