Minisector,HUL,STR,Fastest
0,292.1959597286771,295.861131734166,STR
1,198.5091798115909,196.46554504987066,HUL
2,221.55987782288997,225.83730021514904,STR
3,271.6564498069684,269.34734850909086,HUL
4,232.77420586073174,228.51535585467383,HUL
5,122.75950430797089,126.4416885147589,STR
6,206.46581038153892,211.8750669997816,STR
7,254.2009144158749,256.1416040432501,STR
8,205.71017457882826,204.53475349245252,HUL
9,206.1436891389674,209.01153956589573,STR
10,262.9149570699043,262.61899739905755,HUL
11,209.30088898550306,206.7037515918376,HUL
12,175.09536209558155,177.9703499213865,STR
13,258.4417436942186,260.86032366754824,STR
14,280.46732337499924,281.1016058115869,STR
15,258.99834483712914,256.5141928296034,HUL
16,234.77297402820074,242.41712191585464,STR
17,270.48198891693147,274.15013117070043,STR
18,284.4866250412815,280.079107047619,HUL
19,169.8698176840363,171.672522506885,STR
20,209.4021072232241,211.79098558869717,STR
21,168.39005315601264,165.10435709459523,HUL
22,141.11880482023128,148.40273873053906,STR
23,238.13760936121764,240.21190358492754,STR
24,278.7556361321202,281.4867917500472,STR
25,289.76666666666665,,HUL
