Minisector,NOR,HAM,Fastest
0,290.6380358552381,284.43190435809527,NOR
1,297.64702360560227,286.6719298245614,NOR
2,165.39411626666669,173.94388992774083,HAM
3,217.93469534943802,221.28583737436367,HAM
4,273.72312544,269.0158588538273,NOR
5,293.17999343068783,287.07675413333334,NOR
6,295.83032397037033,285.83997499348374,NOR
7,189.05301535632185,188.89382157277666,NOR
8,116.37055630222221,123.20922947044964,HAM
9,247.47510855064937,244.77787377909976,NOR
10,285.97278829072684,277.19775528469825,NOR
11,296.9657406814815,282.2140350877193,NOR
12,153.27422991123552,162.2558199050524,HAM
13,180.44166783999998,188.4396626160149,HAM
14,255.2108674330381,250.0855462562754,NOR
15,206.160141221978,215.330166784,HAM
16,216.28611146666665,216.4530433609634,HAM
17,218.7133708006604,224.5432098075909,HAM
18,243.0406931878788,239.8274987623079,NOR
19,275.6568346022166,271.979168734646,NOR
20,292.5335649185185,285.5491227508772,NOR
21,270.1602374552381,270.13070815873,NOR
22,228.47851952268755,235.02010903188403,HAM
23,200.30163213544972,201.91512339753086,HAM
24,264.45360105568346,256.8438655127131,NOR
25,,275.87083342222223,HAM
