Minisector,NOR,BEA,Fastest
0,307.36393245306147,306.45488937168045,NOR
1,322.6656847919098,324.21136066400453,BEA
2,303.1099381669759,298.2931439438961,NOR
3,103.50376814201331,106.17561397998905,BEA
4,226.58921877454918,228.3031655054222,BEA
5,282.4353983180375,285.3477347400866,BEA
6,221.53602155530407,193.72685302883414,NOR
7,154.42313993943014,163.09714406545126,BEA
8,209.2446521727556,196.50150162145073,NOR
9,210.05922418864816,208.09615870906833,NOR
10,115.58243003747066,107.54600719504526,NOR
11,228.48203090926108,224.0012668923053,NOR
12,115.55559042266943,112.49891364842337,NOR
13,221.21738493034925,229.61841237861103,BEA
14,275.7271738434783,289.1060172484997,BEA
15,216.90515965504048,191.4032889233437,NOR
16,180.8547500905428,188.66758648753546,BEA
17,244.1113292431527,247.14514900743,BEA
18,200.79095526511435,180.2855433165945,NOR
19,180.33575018030646,187.56853464418217,BEA
20,263.44552722165577,267.07418417391307,BEA
21,288.8275538011297,290.44910226005265,BEA
22,176.91582923715876,164.89459860695968,NOR
23,210.8096588707648,219.75212020528335,BEA
24,271.7246014737572,277.65560504785367,BEA
