Minisector,RUS,ALB,Fastest
0,318.03630268478054,317.3047548816126,RUS
1,328.43404613132833,326.74656249,RUS
2,328.20205620037194,323.9220110771581,RUS
3,187.29258256868482,183.82618907283833,RUS
4,126.0733040174544,123.55029852650529,RUS
5,263.29019682905056,265.9105188767273,ALB
6,300.6544013991342,296.36848608987015,RUS
7,314.1330128,314.3695370745679,ALB
8,267.48490005707004,256.9460327122689,RUS
9,138.85128748018684,141.62321595019299,ALB
10,211.85126349871354,199.64736044519142,RUS
11,206.87507452527538,210.75635951866025,ALB
12,186.54075878565197,187.4094734043369,ALB
13,263.29435274352215,266.8845523160494,ALB
14,301.7223735044156,301.58290825094707,RUS
15,313.90156633040414,312.6912321721905,RUS
16,264.51979444627375,249.61196710828565,RUS
17,208.08356771416035,206.86526111501735,RUS
18,270.1545586269553,271.3881957950296,ALB
19,308.4036684988988,305.25758770982964,RUS
20,319.85662514726266,320.5571428571428,ALB
21,304.4281156791797,278.92543000530543,RUS
22,201.22956675917533,198.7240784682422,RUS
23,255.745977936734,263.38818931936004,ALB
24,300.2811744833016,300.7756348952381,ALB
