Minisector,BOT,STR,Fastest
0,286.99722960380956,302.6732308126154,STR
1,148.21191287496853,151.93480865320893,STR
2,166.2261102419853,168.48455955096654,STR
3,244.98149179193678,240.8798325418549,BOT
4,279.5763065837968,282.7375921138278,STR
5,230.33979867581692,229.64785014386146,BOT
6,204.44464442549634,203.58619357295942,BOT
7,152.9392574358155,148.8753809451283,BOT
8,233.22366266274426,226.4169313546722,BOT
9,281.27460133521936,282.0816321906461,STR
10,297.3265333628086,303.11518232555557,STR
11,305.67756581894736,321.37485265112304,STR
12,310.2135507998508,332.44038622327986,STR
13,302.55300073323497,314.0924822168553,STR
14,125.94958434583867,122.35899658315567,BOT
15,118.70126524980671,112.89643936265256,BOT
16,99.33116180522609,100.89132796485619,STR
17,236.45637748843856,238.3351932206256,STR
18,282.8517880535517,287.66374822374604,STR
19,302.3481791555252,317.8482135495238,STR
20,311.4217965228053,334.9722998170105,STR
21,315.0077834369161,330.04004979950616,STR
22,127.25681669315499,113.28474748677925,BOT
23,199.93301339588285,206.56519478999365,STR
24,266.83701519256994,272.11634704761906,STR
