Minisector,PIA,TSU,Fastest
0,276.69786805333337,275.5472779677668,PIA
1,297.9681693881097,296.3825065917536,PIA
2,298.8135861312253,294.57054467128427,PIA
3,174.37441925358956,181.2516888821003,TSU
4,118.94723244166845,120.2733641562756,TSU
5,238.63385195539394,234.87060091319614,PIA
6,282.27897606278685,279.31382144843474,PIA
7,298.6317080888889,293.04329859555554,PIA
8,184.7638039452754,183.55976034792437,PIA
9,144.7187463493283,143.25611757567594,PIA
10,255.2849998206061,248.40195645966207,PIA
11,291.1423351209975,287.0208282866619,PIA
12,305.1365252593513,295.69010735091075,PIA
13,290.33402459447007,276.02708436845717,PIA
14,298.9018195453291,292.81631805646373,PIA
15,302.1432737834921,293.7694320973913,PIA
16,268.69505676045435,254.68820067578645,PIA
17,239.71040563809524,232.87337653778394,PIA
18,281.64933515948076,275.646052427542,PIA
19,300.9000642225245,296.2418572695986,PIA
20,307.93000039921884,297.53774492972195,PIA
21,252.35149865306124,234.86987496575983,PIA
22,268.59103598985973,257.36176577920156,PIA
23,138.48394211658223,145.9624968561791,TSU
24,220.39794280290832,211.9836042680616,PIA
25,,255.968752,TSU
